State,MajorGrouping,SubGrouping,NOMarrivals,NOMdepartures,NOM
Northern Territory,Temporary visas,Temporary work skilled,240,60,180
Northern Territory,Temporary visas,Visitor,470,220,250
Northern Territory,Temporary visas,Working Holiday,110,30,80
Northern Territory,Temporary visas,Other temporary visas,140,200,-50
Northern Territory,Permanent visas,,440,80,360
Northern Territory,Permanent visas,Family,190,20,170
Northern Territory,Permanent visas,Skill,110,20,90
Northern Territory,Permanent visas,Special Eligibility and humanitarian,120,0,120
Northern Territory,Permanent visas,Other permanent visas,20,30,-10
Northern Territory,New Zealand Citizen (subclass 444),,350,420,-60
Northern Territory,Australian Citizen,,710,860,-150
Northern Territory,Other,,1850,1490,360
Northern Territory,Total,,4430,3420,1010
Australian Capital Territory,Temporary visas,,2130,1030,1100
Australian Capital Territory,Temporary visas,Vocational Education and Training sector,60,20,40
Australian Capital Territory,Temporary visas,Higher education sector,510,170,340
Australian Capital Territory,Temporary visas,Student other,580,350,230
Australian Capital Territory,Temporary visas,Temporary work skilled,350,100,260
Australian Capital Territory,Temporary visas,Visitor,390,190,200
Australian Capital Territory,Temporary visas,Working Holiday,80,10,70
Australian Capital Territory,Temporary visas,Other temporary visas,160,200,-30
Australian Capital Territory,Permanent visas,,960,210,750
Australian Capital Territory,Permanent visas,Family,400,70,330
Australian Capital Territory,Permanent visas,Skill,340,70,270
Australian Capital Territory,Permanent visas,Special Eligibility and humanitarian,170,0,170
Australian Capital Territory,Permanent visas,Other permanent visas,50,70,-20
Australian Capital Territory,New Zealand Citizen (subclass 444),,270,190,70
Australian Capital Territory,Australian Citizen,,1790,2880,-1090
Australian Capital Territory,Other,,270,270,0
Australian Capital Territory,Total,,5410,4580,820
Australia(f),Temporary visas,,141300,59510,81790
Australia(f),Temporary visas,Vocational Education and Training sector,7990,3080,4900
Australia(f),Temporary visas,Higher education sector,32750,9010,23750
Australia(f),Temporary visas,Student other,25440,9150,16290
Australia(f),Temporary visas,Temporary work skilled,17100,7220,9880
Australia(f),Temporary visas,Visitor,35770,14320,21450
Australia(f),Temporary visas,Working Holiday,12930,3530,9400
Australia(f),Temporary visas,Other temporary visas,9320,13200,-3870
Australia(f),Permanent visas,,81210,16030,65180
Australia(f),Permanent visas,Family,28610,4090,24530
Australia(f),Permanent visas,Skill,35540,6570,28960
Australia(f),Permanent visas,Special Eligibility and humanitarian,13400,200,13210
Australia(f),Permanent visas,Other permanent visas,3650,5170,-1510
Australia(f),New Zealand Citizen (subclass 444),,37330,16920,20410
Australia(f),Australian Citizen,,69260,90480,-21220
Australia(f),Other,,12300,15880,-3570
Australia(f),Total,,341400,198820,142580
